timestamp,user_id,ip_address,location,device_type,browser,login_success,location_risk,device_risk,browser_risk,time_risk,failed_attempt_risk,total_risk
1708447494.572636,user_369,168.153.10.206,Unknown,desktop,Edge,0,0.8,0.2,0.5,0.2,0.8,0.5
1736613894.572636,user_300,28.217.254.214,London,desktop,Safari,1,0.2,0.2,0.1,0.2,0.1,0.15999999999999998
1717865094.572636,user_70,65.233.125.152,Berlin,tablet,Safari,1,0.2,0.2,0.1,0.2,0.1,0.15999999999999998
1737132294.572636,user_856,245.152.169.197,Paris,tablet,Chrome,1,0.2,0.2,0.1,0.2,0.1,0.15999999999999998
1725554694.572636,user_31,242.121.51.227,New York,mobile,Edge,1,0.2,0.6,0.5,0.2,0.1,0.32
1712767494.572636,user_121,7.17.43.35,Sydney,desktop,Chrome,0,0.2,0.2,0.1,0.2,0.8,0.3
1707324294.572636,user_461,83.111.48.16,London,mobile,Edge,0,0.2,0.6,0.5,0.2,0.8,0.45999999999999996
1719247494.572636,user_444,44.224.242.21,Unknown,mobile,Edge,1,0.8,0.6,0.5,0.2,0.1,0.44000000000000006
1728146694.572636,user_564,36.81.249.146,Tokyo,tablet,Edge,1,0.2,0.2,0.5,0.2,0.1,0.24000000000000005
1736441094.572636,user_137,125.97.198.161,London,desktop,Chrome,1,0.2,0.2,0.1,0.2,0.1,0.15999999999999998
1730911494.572636,user_343,239.94.242.205,Sydney,tablet,Edge,0,0.2,0.2,0.5,0.2,0.8,0.38
1714149894.572636,user_798,45.213.181.210,Paris,desktop,Edge,1,0.2,0.2,0.5,0.2,0.1,0.24000000000000005
1726850694.572636,user_640,96.74.145.69,New York,desktop,Firefox,1,0.2,0.2,0.1,0.2,0.1,0.15999999999999998
1730479494.572636,user_357,141.248.49.156,Sydney,mobile,Safari,1,0.2,0.6,0.1,0.2,0.1,0.24000000000000005
1722012294.572636,user_131,229.215.110.255,Tokyo,mobile,Chrome,1,0.2,0.6,0.1,0.2,0.1,0.24000000000000005
1723135494.572636,user_628,229.91.240.26,Paris,desktop,Chrome,1,0.2,0.2,0.1,0.2,0.1,0.15999999999999998
1724604294.572636,user_556,145.100.157.254,Paris,tablet,Safari,1,0.2,0.2,0.1,0.2,0.1,0.15999999999999998
1734540294.572636,user_418,92.54.109.176,New York,tablet,Edge,1,0.2,0.2,0.5,0.2,0.1,0.24000000000000005
1709743494.572636,user_296,137.184.144.255,Paris,tablet,Safari,1,0.2,0.2,0.1,0.2,0.1,0.15999999999999998
1711125894.572636,user_238,178.202.96.186,Tokyo,mobile,Firefox,1,0.2,0.6,0.1,0.2,0.1,0.24000000000000005
1728751494.572636,user_191,33.71.157.125,Paris,desktop,Chrome,1,0.2,0.2,0.1,0.2,0.1,0.15999999999999998
1733330694.572636,user_903,72.69.252.146,Paris,mobile,Firefox,0,0.2,0.6,0.1,0.2,0.8,0.38
1727801094.572636,user_937,192.252.197.159,Paris,mobile,Safari,0,0.2,0.6,0.1,0.2,0.8,0.38
1722444294.572636,user_370,89.70.121.226,Paris,mobile,Edge,1,0.2,0.6,0.5,0.2,0.1,0.32
1721493894.572636,user_227,37.100.154.149,New York,mobile,Firefox,1,0.2,0.6,0.1,0.2,0.1,0.24000000000000005
1725209094.572636,user_955,57.118.54.163,Paris,desktop,Safari,1,0.2,0.2,0.1,0.2,0.1,0.15999999999999998
1734885894.572636,user_144,149.62.19.253,Tokyo,tablet,Chrome,0,0.2,0.2,0.1,0.2,0.8,0.3
1717605894.572636,user_153,38.120.164.174,Tokyo,desktop,Safari,1,0.2,0.2,0.1,0.2,0.1,0.15999999999999998
1732812294.572636,user_366,37.211.5.15,New York,tablet,Safari,1,0.2,0.2,0.1,0.2,0.1,0.15999999999999998
1706719494.572636,user_434,158.67.4.135,Paris,mobile,Chrome,1,0.2,0.6,0.1,0.2,0.1,0.24000000000000005
1732898694.572636,user_248,175.60.106.128,Tokyo,desktop,Edge,1,0.2,0.2,0.5,0.2,0.1,0.24000000000000005
1737391494.572636,user_47,32.119.24.28,Berlin,tablet,Safari,1,0.2,0.2,0.1,0.2,0.1,0.15999999999999998
1715359494.572636,user_778,100.130.6.214,Berlin,mobile,Chrome,1,0.2,0.6,0.1,0.2,0.1,0.24000000000000005
1718815494.572636,user_78,58.223.248.131,Paris,tablet,Edge,1,0.2,0.2,0.5,0.2,0.1,0.24000000000000005
1733071494.572636,user_606,71.131.47.23,Unknown,tablet,Chrome,1,0.8,0.2,0.1,0.2,0.1,0.28
1710261894.572636,user_447,93.19.214.224,London,mobile,Firefox,1,0.2,0.6,0.1,0.2,0.1,0.24000000000000005
1710261894.572636,user_457,28.101.30.1,Berlin,mobile,Chrome,0,0.2,0.6,0.1,0.2,0.8,0.38
1722617094.572636,user_394,121.176.236.211,Sydney,tablet,Firefox,1,0.2,0.2,0.1,0.2,0.1,0.15999999999999998
1710089094.572636,user_15,96.17.112.237,Unknown,desktop,Safari,0,0.8,0.2,0.1,0.2,0.8,0.42000000000000004
1727196294.572636,user_861,66.14.118.63,Berlin,desktop,Firefox,1,0.2,0.2,0.1,0.2,0.1,0.15999999999999998
1720889094.572636,user_597,146.33.61.8,Sydney,tablet,Chrome,1,0.2,0.2,0.1,0.2,0.1,0.15999999999999998
1712594694.572636,user_985,21.215.50.213,London,tablet,Firefox,0,0.2,0.2,0.1,0.2,0.8,0.3
1721925894.572636,user_883,101.86.252.6,New York,mobile,Chrome,1,0.2,0.6,0.1,0.2,0.1,0.24000000000000005
1733935494.572636,user_924,5.42.50.158,London,desktop,Safari,1,0.2,0.2,0.1,0.2,0.1,0.15999999999999998
1712940294.572636,user_625,125.246.174.113,Sydney,desktop,Edge,1,0.2,0.2,0.5,0.2,0.1,0.24000000000000005
1715445894.572636,user_173,84.165.170.163,Sydney,tablet,Firefox,0,0.2,0.2,0.1,0.2,0.8,0.3
